

------------------------------------------------------------------------------------
	WALSH TABLE : [[1, 1, 1, 1, 1, 1, 1, 1], [1, -1, 1, -1, 1, -1, 1, -1], [1, 1, -1, -1, 1, 1, -1, -1], [1, -1, -1, 1, 1, -1, -1, 1], [1, 1, 1, 1, -1, -1, -1, -1], [1, -1, 1, -1, -1, 1, -1, 1], [1, 1, -1, -1, -1, -1, 1, 1], [1, -1, -1, 1, -1, 1, 1, -1]]        
------------------------------------------------------------------------------------


07/10/2021 12:57:51 ||| SENDER-6     ||  STARTS SENDING TO RECEIVER-6
07/10/2021 12:58:10 ||| CHANNEL...   ||  [-1, 1, -1, 1, -1, 1, -1, 1]
07/10/2021 12:58:10 ||| CHANNEL...   ||  [-1, 1, -1, 1, 1, -1, 1, -1]
07/10/2021 12:58:10 ||| RECEIVER-7   ||  BIT RECEIVED : 0

07/10/2021 12:58:10 ||| DATA : [0, 1, 0, 0, 0, 0, 1, 0]

07/10/2021 12:58:10 ||| CHAR RECEIVED : B
 0, 0, 1, 0]

07/10/2021 12:58:10 ||| CHAR RECEIVED : B

07/10/2021 12:58:10 ||| SENDER-8     ||  DATA BIT SEND -11, -1, 1, 1]
07/10/2021 12:58:10 ||| CHANNEL...   ||  [-1, 1, 1, -1, 1, -1, -1, 1]
07/10/2021 12:58:10 ||| SENDER-5     ||  DATA BIT SEND -11, 1, -1, 1]
07/10/2021 12:58:10 ||| CHANNEL...   ||  [-1, 1, -1, 1, 1, -1, 1, -1]
07/10/2021 12:58:10 ||| CHANNEL...   ||  [-1, -1, -1, -1, -1, -1, -1, -1]
07/10/2021 12:58:10 ||| CHANNEL...   ||  [-1, 1, 1, -1, -1, 1, 1, -1]
07/10/2021 12:58:10 ||| CHANNEL...   ||  [-1, -1, -1, -1, 1, 1, 1, 1]
07/10/2021 12:58:10 ||| CHANNEL...   ||  [-1, -1, 1, 1, 1, 1, -1, -1]
07/10/2021 12:58:10 ||| RECEIVER-6   ||  BIT RECEIVED : 0
07/10/2021 12:58:10 ||| RECEIVER-8   ||  BIT RECEIVED : 0
07/10/2021 12:58:11 ||| SENDER-8     ||  DATA BIT SEND 1-1, 1, 1, -1]
07/10/2021 12:58:11 ||| CHANNEL...   ||  [1, 1, -1, -1, 1, 1, -1, -1]
07/10/2021 12:58:11 ||| SENDER-4     ||  DATA BIT SEND 1, -1, -1, -1]
07/10/2021 12:58:11 ||| CHANNEL...   ||  [1, -1, -1, 1, 1, -1, -1, 1]
07/10/2021 12:58:11 ||| CHANNEL...   ||  [1, -1, 1, -1, 1, -1, 1, -1]
07/10/2021 12:58:11 ||| CHANNEL...   ||  [1, -1, 1, -1, -1, 1, -1, 1]
